chromosome, dna_content, male, female
1         , 263        , 2   , 2
2         , 255        , 2   , 2
3         , 214        , 2   , 2
4         , 203        , 2   , 2
5         , 194        , 2   , 2
6         , 183        , 2   , 2
7         , 171        , 2   , 2
8         , 155        , 2   , 2
9         , 145        , 2   , 2
10        , 144        , 2   , 2
11        , 144        , 2   , 2
12        , 143        , 2   , 2
13        , 114        , 2   , 2
14        , 109        , 2   , 2
15        , 106        , 2   , 2
16        , 98         , 2   , 2
17        , 92         , 2   , 2
18        , 85         , 2   , 2
19        , 67         , 2   , 2
20        , 72         , 2   , 2
21        , 50         , 2   , 2
22        , 56         , 2   , 2
X         , 164        , 1   , 2
Y         , 59         , 1   , 0
