"chromosome","fraction_male","fraction_female"
"1",0.0828476925500079,0.0814998450573288
"2",0.080327610647346,0.0790207623179424
"3",0.0674121908962041,0.0663154632785869
"4",0.0639470782800441,0.0629067245119306
"5",0.0611119861395495,0.0601177564301209
"6",0.0576468735233895,0.0567090176634645
"7",0.0538667506693968,0.0529903935543849
"8",0.0488265868640731,0.048032228075612
"9",0.0456764844857458,0.044933374651379
"10",0.0453614742479131,0.0446234893089557
"11",0.0453614742479131,0.0446234893089557
"12",0.0450464640100803,0.0443136039665324
"13",0.0359111671129312,0.0353269290362566
"14",0.0343361159237675,0.0337775023241401
"15",0.0333910852102693,0.0328478462968702
"16",0.0308710033076075,0.0303687635574837
"17",0.0289809418806111,0.0285094515029439
"18",0.026775870215782,0.0263402541059808
"19",0.0211056859347929,0.0207623179423613
"20",0.0226807371239565,0.0223117446544778
"21",0.0157505118916365,0.0154942671211652
"22",0.0176405733186329,0.017353579175705
"X",0.0258308395022838,0.0508211961574218
"Y",0.00929280201606552,NA
