S	Sl	Su
0	0	3.285315692
1	0.051293294	5.323321132
2	0.355361511	6.685780102
3	0.817691447	8.102057769
4	1.366318397	9.598435041
5	1.970149568	11.17718044
6	2.613014744	12.81740634
7	3.285315692	13.76523
8	3.285315692	14.92054461
9	4.460143045	16.7678738
10	5.323321132	17.63293342
11	5.323321132	19.05051033
12	6.685780102	20.33538109
13	6.685780102	21.36446128
14	8.102057769	22.94455503
15	8.102057769	23.76180814
16	9.598435041	25.39962861
17	9.598435041	26.30643913
18	11.17718044	27.7347767
19	11.17718044	28.96605071
20	12.81740634	30.01718327
21	12.81740634	31.67466808
22	13.76523	32.2773253
23	14.92054461	34.04773713
24	14.92054461	34.66502921
25	16.7678738	36.03017982
26	16.7678738	37.66669514
27	17.63293342	38.16531711
28	19.05051033	39.76345011
29	19.05051033	40.94375256
30	20.33538109	41.75324046
31	21.36446128	43.45334424
32	21.36446128	44.25928212
33	22.94455503	45.28045794
34	23.76180814	47.02520823
35	23.76180814	47.68908055
36	25.39962861	48.7439812
37	26.30643913	50.41968782
38	26.30643913	51.29330318
39	27.7347767	52.15009873
40	28.96605071	53.71913071
41	28.96605071	54.99018032
42	30.01718327	55.5107762
43	31.67466808	56.98612044
44	31.67466808	58.71755598
45	32.2773253	58.83824093
46	34.04773713	60.24013687
47	34.66502921	61.89951228
48	34.66502921	62.81437402
49	36.03017982	63.48761887
50	37.66669514	64.94739998
51	37.66669514	66.75710555
52	38.16531711	66.75710555
53	39.76345011	68.09734872
54	40.94375256	69.61739748
55	40.94375256	71.09216105
56	41.75324046	71.27961937
57	43.45334424	72.6581319
58	44.25928212	74.22238162
59	44.25928212	75.48976185
60	45.28045794	75.78474208
61	47.02520823	77.16346211
62	47.68908055	78.73059155
63	47.68908055	79.98210222
64	48.7439812	80.24661199
65	50.41968782	81.6131086
66	51.29330318	83.13924693
67	51.29330318	84.57229579
68	52.15009873	84.6683784
69	53.71913071	86.01344398
70	54.99018032	87.47870281
71	54.99018032	89.23024787
72	55.5107762	89.23024787
73	56.98612044	90.37429966
74	58.71755598	91.77907637
75	58.71755598	93.48346393
76	58.83824093	94.23307709
77	60.24013687	94.70544671
78	61.89951228	96.05789413
79	62.81437402	97.54514596
80	62.81437402	99.16605116
81	63.48761887	99.16605116
82	64.94739998	100.3241317
83	66.75710555	101.7100038
84	66.75710555	103.31534
85	66.75710555	104.3999445
86	68.09734872	104.5824625
87	69.61739748	105.9045885
88	71.09216105	107.3179796
89	71.09216105	109.1071598
90	71.27961937	109.6105382
91	72.6581319	110.1129481
92	74.22238162	111.4409581
93	75.48976185	112.8681599
94	75.48976185	114.8412687
95	75.78474208	114.8412687
96	77.16346211	115.604726
97	78.73059155	116.9302717
98	79.98210222	118.3523539
99	79.98210222	120.3572638
100	80.24661199	120.3572638
101	81.6131086	121.0585388
102	83.13924693	122.3737359
103	84.57229579	123.7736049
104	84.57229579	125.4596221
105	84.6683784	126.2575203
106	86.01344398	126.4772634
107	87.47870281	127.7762969
108	89.23024787	129.1440467
109	89.23024787	130.6841239
110	89.23024787	132.0307821
111	90.37429966	132.0307821
112	91.77907637	133.1448607
113	93.48346393	134.4777575
114	94.23307709	135.9184589
115	94.23307709	137.7933885
116	94.70544671	137.7933885
117	96.05789413	138.4864647
118	97.54514596	139.7861631
119	99.16605116	141.1557868
120	99.16605116	142.7039216
121	99.16605116	144.0115588
122	100.3241317	144.0115588
123	101.7100038	145.077221
124	103.31534	146.3942394
125	104.3999445	147.7994291
126	104.3999445	149.5306189
127	104.5824625	150.1872607
128	105.9045885	150.3561721
129	107.3179796	151.6330825
130	109.1071598	152.9618813
131	109.6105382	154.3939423
132	109.6105382	156.3185029
133	110.1129481	156.3185029
134	111.4409581	156.8719636
135	112.8681599	158.150935
136	114.8412687	159.4834647
137	114.8412687	160.9247958
138	114.8412687	162.7883064
139	115.604726	162.7883064
140	116.9302717	163.3539899
141	118.3523539	164.6297903
142	120.3572638	165.9570584
143	120.3572638	167.3861558
144	120.3572638	169.32674
145	121.0585388	169.32674
146	122.3737359	169.8032392
147	123.7736049	171.0711205
148	125.4596221	172.3853105
149	126.2575203	173.7855314
150	126.2575203	175.4853726
151	126.4772634	176.2325603
152	127.7762969	176.2325603
153	129.1440467	177.4784489
154	130.6841239	178.7743488
155	132.0307821	180.1380617
156	132.0307821	181.6690601
157	132.0307821	183.0470139
158	133.1448607	183.0470139
159	134.4777575	183.8564534
160	135.9184589	185.1316406
161	137.7933885	186.4583242
162	137.7933885	187.8868554
163	137.7933885	189.8267634
164	138.4864647	189.8267634
165	139.7861631	190.2100538
166	141.1557868	191.4642444
167	142.7039216	192.7569899
168	144.0115588	194.1151001
169	144.0115588	195.6286621
170	144.0115588	197.0873534
171	145.077221	197.0873534
172	146.3942394	197.7779962
173	147.7994291	199.0410703
174	149.5306189	200.3479535
175	150.1872607	201.7337773
176	150.1872607	203.3545268
177	150.3561721	204.363037
178	151.6330825	204.363037
179	152.9618813	205.3150406
180	154.3939423	206.5831661
181	156.3185029	207.8983904
182	156.3185029	209.3018515
183	156.3185029	211.0312526
184	156.8719636	211.6871037
185	158.150935	211.6871037
186	159.4834647	212.8196678
187	160.9247958	214.0882267
188	162.7883064	215.4042725
189	162.7883064	216.8096838
190	162.7883064	218.5566213
191	163.3539899	219.1618507
192	164.6297903	219.1618507
193	165.9570584	220.2917609
194	167.3861558	221.5560385
195	169.32674	222.8651717
196	169.32674	224.256095
197	169.32674	225.9047591
198	169.8032392	226.8132193
199	171.0711205	226.8132193
200	172.3853105	227.7326476
201	173.7855314	228.9885604
202	175.4853726	230.2844568
203	176.2325603	231.6492082
204	176.2325603	233.1863178
205	176.2325603	234.5306163
206	177.4784489	234.5306163
207	178.7743488	235.1448319
208	180.1380617	236.3894072
209	181.6690601	237.6680443
210	183.0470139	239.0014766
211	183.0470139	240.4477404
212	183.0470139	242.2676492
213	183.8564534	242.2676492
214	185.1316406	242.5315364
215	186.4583242	243.7630288
216	187.8868554	245.022646
217	189.8267634	246.3245454
218	189.8267634	247.7012131
219	189.8267634	249.2838777
220	190.2100538	250.4337273
221	191.4642444	250.4337273
222	192.7569899	251.1139584
223	194.1151001	252.3544776
224	195.6286621	253.6272269
225	197.0873534	254.9507405
226	197.0873534	256.3736126
227	197.0873534	258.3414663
228	197.7779962	258.3414663
229	199.0410703	258.4463272
230	200.3479535	259.668689
231	201.7337773	260.9156084
232	203.3545268	262.197964
233	204.363037	263.5382053
234	204.363037	265.0024722
235	204.363037	266.7136741
236	205.3150406	266.7136741
237	206.5831661	266.9692956
238	207.8983904	268.193771
239	209.3018515	269.4436687
240	211.0312526	270.730611
241	211.6871037	272.0791855
242	211.6871037	273.5666262
243	211.6871037	275.1500243
244	212.8196678	275.1500243
245	214.0882267	275.464451
246	215.4042725	276.6882732
247	216.8096838	277.9373086
248	218.5566213	279.2229926
249	219.1618507	280.5693668
250	219.1618507	282.0507227
251	219.1618507	283.6659203
252	220.2917609	283.6659203
253	221.5560385	283.9320186
254	222.8651717	285.1524798
255	224.256095	286.3969157
256	225.9047591	287.6757045
257	226.8132193	289.0099026
258	226.8132193	290.4590287
259	226.8132193	292.2571398
260	227.7326476	292.2571398
261	228.9885604	292.3731059
